id_odd,time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_empate,mult_vitoria_time_2,data_jogo,data_extracao,num_apostas
124,Sport,Mirassol,sáb.,18:30,2.8,3.35,2.48,2025-10-25 18:30:00,2025-10-25,444.0
7,Sport,Vasco,dom.,20:30,2.4,3.25,2.9,2025-08-31 20:30:00,2025-08-31,0
126,São Paulo,Bahia,sáb.,21:30,1.91,3.35,4.1,2025-10-25 21:30:00,2025-10-25,441.0
386,São Paulo,Botafogo,dom.,17:30,2.18,3.0,3.65,2025-09-14 17:30:00,2025-09-13,352.0
895,São Paulo,Bragantino,sáb.,21:00,1.7,3.4,5.5,2025-11-08 21:00:00,2025-11-08,460.0
1078,São Paulo,Ceará,seg.,20:00,1.58,3.7,6.1,2025-09-29 20:00:00,2025-09-29,409.0
365,São Paulo,Flamengo,qua.,21:30,4.3,3.25,1.91,2025-11-05 21:30:00,2025-11-05,401.0
753,São Paulo,Palmeiras,dom.,16:00,3.35,3.05,2.28,2025-10-05 16:00:00,2025-10-05,435.0
1172,Vasco,Bahia,qua.,19:30,2.25,3.35,3.1,2025-09-24 19:30:00,2025-09-24,388.0
387,Vasco,Ceará,dom.,20:30,1.83,3.4,4.5,2025-09-14 20:30:00,2025-09-13,378.0
38,Vasco,Cruzeiro,sáb.,18:30,3.05,3.3,2.3,2025-09-27 18:30:00,2025-09-27,395.0
495,Vasco,Fluminense,seg.,19:30,2.95,3.1,2.48,2025-10-20 19:30:00,2025-10-20,468.0
893,Vasco,Juventude,sáb.,18:00,1.41,4.35,8.0,2025-11-08 18:00:00,2025-11-08,495.0
579,Vasco,São Paulo,dom.,20:30,2.12,3.15,3.65,2025-11-02 20:30:00,2025-11-01,455.0
754,Vasco,Vitória,dom.,16:00,1.72,3.7,4.8,2025-10-05 16:00:00,2025-10-05,434.0
5,Vitória,Atlético-MG,dom.,18:30,2.85,3.05,2.6,2025-08-31 18:30:00,2025-08-31,0
1128,Vitória,Bahia,qui.,21:30,2.9,3.15,2.48,2025-10-16 21:30:00,2025-10-15,387.0
877,Vitória,Botafogo,dom.,16:00,3.25,3.15,2.25,2025-11-09 16:00:00,2025-11-09,438.0
56,Vitória,Ceará,qui.,19:00,2.3,3.1,3.25,2025-10-02 19:00:00,2025-10-02,416.0
122,Vitória,Corinthians,sáb.,16:00,2.55,3.05,2.88,2025-10-25 16:00:00,2025-10-25,453.0
1034,Vitória,Fluminense,sáb.,16:00,2.35,3.05,3.2,2025-09-20 16:00:00,2025-09-20,426.0
361,Vitória,Internacional,qua.,19:00,2.5,3.2,2.85,2025-11-05 19:00:00,2025-11-05,422.0
