id_odd,time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas,data_jogo,data_extracao
169,Internacional,Corinthians,1 de out.,19:30,1.5,2.43,266,2025-10-01 19:30:00,2025-09-22
170,Botafogo,Bahia,1 de out.,21:30,1.4,2.75,148,2025-10-01 21:30:00,2025-09-22
171,Santos,Grêmio,1 de out.,21:30,1.52,2.4,277,2025-10-01 21:30:00,2025-09-22
172,Vitória,Ceará,2 de out.,19:00,1.62,2.18,284,2025-10-02 19:00:00,2025-09-22
173,Fortaleza,São Paulo,2 de out.,19:30,1.88,1.85,291,2025-10-02 19:30:00,2025-09-22
174,Flamengo,Cruzeiro,2 de out.,20:30,1.26,3.55,303,2025-10-02 20:30:00,2025-09-22
175,Fortaleza,Sport,sáb.,16:00,1.29,3.35,321,2025-09-27 16:00:00,2025-09-26
176,Juventude,Internacional,sáb.,18:30,2.6,1.45,292,2025-09-27 18:30:00,2025-09-26
177,Vasco,Cruzeiro,sáb.,18:30,2.04,1.73,343,2025-09-27 18:30:00,2025-09-26
178,Atlético-MG,Mirassol,sáb.,21:00,1.58,2.23,398,2025-09-27 21:00:00,2025-09-26
179,Grêmio,Vitória,dom.,11:00,1.26,3.5,275,2025-09-28 11:00:00,2025-09-26
180,Bahia,Palmeiras,dom.,16:00,2.43,1.5,279,2025-09-28 16:00:00,2025-09-26
181,Fluminense,Botafogo,dom.,16:00,1.67,2.1,293,2025-09-28 16:00:00,2025-09-26
182,Bragantino,Santos,dom.,18:30,1.6,2.23,293,2025-09-28 18:30:00,2025-09-26
183,Corinthians,Flamengo,dom.,20:30,2.95,1.35,282,2025-09-28 20:30:00,2025-09-26
184,São Paulo,Ceará,seg.,20:00,1.19,4.2,295,2025-09-29 20:00:00,2025-09-26
185,Atlético-MG,Juventude,ter.,21:30,1.13,5.1,325,2025-09-30 21:30:00,2025-09-26
186,Mirassol,Bragantino,qua.,19:00,1.49,2.48,284,2025-10-01 19:00:00,2025-09-26
187,Palmeiras,Vasco,qua.,19:00,1.09,6.1,317,2025-10-01 19:00:00,2025-09-26
188,Sport,Fluminense,qua.,19:00,1.98,1.75,283,2025-10-01 19:00:00,2025-09-26
189,Internacional,Corinthians,qua.,19:30,1.5,2.43,266,2025-10-01 19:30:00,2025-09-26
190,Botafogo,Bahia,qua.,21:30,1.41,2.75,279,2025-10-01 21:30:00,2025-09-26
191,Santos,Grêmio,qua.,21:30,1.46,2.55,275,2025-10-01 21:30:00,2025-09-26
192,Vitória,Ceará,2 de out.,19:00,1.62,2.18,284,2025-10-02 19:00:00,2025-09-26
193,Fortaleza,São Paulo,2 de out.,19:30,1.88,1.85,291,2025-10-02 19:30:00,2025-09-26
194,Flamengo,Cruzeiro,2 de out.,20:30,1.26,3.55,303,2025-10-02 20:30:00,2025-09-26
195,Sport,Atlético-MG,sáb.,16:00,19.0,10.0,448,2025-11-08 16:00:00,2025-11-07
